Order_ID,Order_Date,Customer_Segment,Priority,Product_Category,Order_Value_INR,Origin,Destination,Special_Handling
ORD000104,10/14/2025,Enterprise,Economy,Healthcare,226.26,Kolkata,Singapore,Fragile
ORD000105,9/8/2025,SMB,Economy,Healthcare,2968.04,Chennai,Bangalore,None
ORD000106,9/24/2025,Enterprise,Express,Electronics,8094.79,Kolkata,Pune,Hazmat
ORD000107,9/11/2025,Individual,Express,Food & Beverage,1184.59,Kolkata,Bangalore,None
ORD000108,9/17/2025,Individual,Economy,Food & Beverage,4236.07,Chennai,Ahmedabad,None
ORD000109,9/8/2025,Individual,Standard,Food & Beverage,68.95,Ahmedabad,Hong Kong,None
ORD000110,10/5/2025,SMB,Standard,Industrial,145.42,Pune,Dubai,None
ORD000111,10/5/2025,Enterprise,Economy,Fashion,32.49,Chennai,Delhi,Fragile
ORD000112,10/3/2025,Individual,Economy,Industrial,162.78,Chennai,Hyderabad,None
ORD000113,9/5/2025,SMB,Economy,Fashion,1265.06,Mumbai,Pune,Fragile
ORD000114,10/12/2025,Individual,Economy,Food & Beverage,555.01,Chennai,Kolkata,None
ORD000115,10/9/2025,Individual,Standard,Food & Beverage,1482.93,Mumbai,Kolkata,None
ORD000116,10/11/2025,Individual,Express,Industrial,99.01,Bangalore,Kolkata,None
ORD000117,9/28/2025,Enterprise,Economy,Industrial,108.5,Ahmedabad,Delhi,None
ORD000118,9/7/2025,SMB,Standard,Fashion,548.35,Bangalore,Kolkata,None
ORD000119,9/9/2025,Individual,Standard,Healthcare,163.37,Bangalore,Bangkok,None
ORD000120,9/8/2025,SMB,Economy,Fashion,2843.45,Delhi,Mumbai,None
ORD000121,9/12/2025,Enterprise,Express,Industrial,157.41,Mumbai,Pune,None
ORD000122,10/4/2025,SMB,Standard,Books,191.89,Kolkata,Mumbai,None
ORD000123,10/3/2025,Individual,Express,Industrial,756.16,Mumbai,Hong Kong,None
ORD000124,10/18/2025,SMB,Standard,Books,224.99,Mumbai,Pune,None
ORD000125,9/23/2025,SMB,Express,Electronics,63.28,Delhi,Mumbai,None
ORD000126,9/24/2025,Enterprise,Express,Industrial,77.55,Kolkata,Pune,None
ORD000127,10/7/2025,SMB,Express,Electronics,903.84,Kolkata,Hong Kong,None
ORD000128,10/5/2025,Individual,Standard,Healthcare,52.56,Mumbai,Singapore,None
ORD000129,10/14/2025,Enterprise,Economy,Fashion,3280.49,Bangalore,Bangkok,None
ORD000130,10/10/2025,SMB,Standard,Books,143.22,Bangalore,Delhi,None
ORD000131,9/22/2025,Individual,Economy,Fashion,1016.71,Chennai,Delhi,Temperature_Controlled
ORD000132,9/27/2025,Individual,Standard,Electronics,156.71,Chennai,Kolkata,None
ORD000133,10/5/2025,SMB,Standard,Books,102.22,Delhi,Bangkok,None
ORD000134,9/1/2025,Individual,Economy,Fashion,583.56,Bangalore,Chennai,None
ORD000135,10/5/2025,SMB,Standard,Industrial,1954.08,Bangalore,Kolkata,None
ORD000136,10/7/2025,Enterprise,Economy,Food & Beverage,278.37,Hyderabad,Ahmedabad,None
ORD000137,10/17/2025,Individual,Express,Electronics,365.69,Bangalore,Bangkok,None
ORD000138,9/14/2025,Individual,Economy,Fashion,1354.42,Delhi,Mumbai,Temperature_Controlled
ORD000139,9/3/2025,Individual,Express,Electronics,1423.38,Delhi,Pune,None
ORD000140,9/1/2025,Individual,Economy,Home Goods,380.8,Bangalore,Chennai,None
ORD000141,9/5/2025,SMB,Standard,Electronics,207.43,Kolkata,Bangkok,None
ORD000142,9/26/2025,SMB,Economy,Books,456.68,Bangalore,Hong Kong,None
ORD000143,9/14/2025,Individual,Express,Home Goods,302.97,Chennai,Ahmedabad,None
ORD000144,10/9/2025,SMB,Standard,Books,645.14,Kolkata,Hong Kong,None
ORD000145,9/27/2025,Individual,Economy,Food & Beverage,67.26,Bangalore,Delhi,None
ORD000146,9/9/2025,Individual,Standard,Home Goods,611.41,Delhi,Bangalore,Temperature_Controlled
ORD000147,9/15/2025,Individual,Standard,Industrial,137.35,Hyderabad,Chennai,None
ORD000148,9/15/2025,SMB,Standard,Electronics,1570,Delhi,Mumbai,None
ORD000149,9/26/2025,SMB,Standard,Fashion,147.13,Bangalore,Chennai,None
ORD000150,10/12/2025,Enterprise,Standard,Healthcare,151.01,Ahmedabad,Dubai,None
ORD000151,9/13/2025,SMB,Standard,Electronics,786.9,Mumbai,Ahmedabad,None
ORD000152,10/2/2025,Enterprise,Economy,Electronics,412.12,Mumbai,Ahmedabad,None
ORD000153,10/9/2025,SMB,Express,Food & Beverage,12270.8,Delhi,Bangkok,Fragile
ORD000154,10/19/2025,SMB,Standard,Industrial,35.02,Pune,Chennai,Fragile
ORD000155,10/2/2025,Enterprise,Economy,Healthcare,475.7,Mumbai,Bangalore,None
ORD000156,9/4/2025,SMB,Economy,Home Goods,2196.18,Mumbai,Kolkata,Temperature_Controlled
ORD000157,9/30/2025,Enterprise,Standard,Home Goods,169.45,Mumbai,Pune,None
ORD000158,10/7/2025,Enterprise,Standard,Home Goods,102.94,Mumbai,Bangkok,None
ORD000159,9/23/2025,Individual,Standard,Books,109.26,Mumbai,Bangkok,None
ORD000160,10/9/2025,SMB,Express,Books,35.95,Bangalore,Chennai,Hazmat
ORD000161,10/15/2025,Enterprise,Standard,Fashion,3055.07,Bangalore,Mumbai,None
ORD000162,9/15/2025,SMB,Standard,Healthcare,246.06,Delhi,Singapore,None
ORD000163,10/13/2025,Individual,Standard,Home Goods,206.02,Delhi,Hyderabad,None
ORD000164,9/29/2025,Enterprise,Express,Books,16.67,Mumbai,Hyderabad,None
ORD000165,10/6/2025,SMB,Economy,Fashion,46.97,Delhi,Bangkok,None
ORD000166,9/13/2025,Enterprise,Economy,Industrial,3633.98,Bangalore,Kolkata,None
ORD000167,10/2/2025,Enterprise,Standard,Fashion,635.66,Kolkata,Pune,None
ORD000168,9/7/2025,SMB,Standard,Books,2320.99,Mumbai,Chennai,None
ORD000169,9/22/2025,SMB,Standard,Food & Beverage,1919.82,Bangalore,Dubai,None
ORD000170,9/28/2025,SMB,Economy,Food & Beverage,89.93,Delhi,Hyderabad,None
ORD000171,9/2/2025,Individual,Standard,Home Goods,15440.85,Hyderabad,Bangalore,None
ORD000172,10/12/2025,Individual,Express,Food & Beverage,7514.57,Chennai,Bangkok,None
ORD000173,10/15/2025,SMB,Economy,Home Goods,173.18,Bangalore,Mumbai,None
ORD000174,9/6/2025,SMB,Economy,Home Goods,1.91,Delhi,Hong Kong,None
ORD000175,9/28/2025,Individual,Economy,Books,236.32,Pune,Hyderabad,None
ORD000176,9/28/2025,Enterprise,Economy,Food & Beverage,576.77,Mumbai,Bangalore,Hazmat
ORD000177,10/14/2025,SMB,Standard,Home Goods,172.16,Mumbai,Chennai,None
ORD000178,10/14/2025,Enterprise,Standard,Healthcare,289.37,Delhi,Mumbai,None
ORD000179,9/20/2025,Enterprise,Economy,Industrial,116.4,Mumbai,Dubai,None
ORD000180,9/30/2025,Individual,Economy,Fashion,1607.53,Pune,Singapore,None
ORD000181,9/11/2025,Individual,Express,Fashion,443.83,Kolkata,Delhi,None
ORD000182,9/28/2025,SMB,Express,Books,1681.21,Delhi,Bangkok,None
ORD000183,9/25/2025,SMB,Standard,Food & Beverage,2523.26,Bangalore,Singapore,None
ORD000184,10/9/2025,Enterprise,Economy,Food & Beverage,15.46,Ahmedabad,Dubai,None
ORD000185,10/3/2025,Enterprise,Economy,Home Goods,127,Hyderabad,Mumbai,Temperature_Controlled
ORD000186,9/1/2025,Enterprise,Express,Electronics,158.22,Chennai,Hyderabad,Fragile
ORD000187,9/27/2025,SMB,Standard,Home Goods,19092.65,Pune,Singapore,None
ORD000188,9/13/2025,Individual,Standard,Industrial,504.47,Ahmedabad,Bangkok,None
ORD000189,10/11/2025,SMB,Economy,Healthcare,1364.91,Kolkata,Delhi,Fragile
ORD000190,9/3/2025,Enterprise,Economy,Fashion,24.02,Mumbai,Kolkata,None
ORD000191,10/9/2025,Individual,Economy,Home Goods,500.11,Delhi,Ahmedabad,None
ORD000192,9/6/2025,Individual,Standard,Electronics,1750.12,Hyderabad,Bangalore,Hazmat
ORD000193,9/8/2025,SMB,Standard,Electronics,1469.9,Mumbai,Hyderabad,None
ORD000194,9/27/2025,SMB,Standard,Home Goods,1027.72,Hyderabad,Singapore,None
ORD000195,9/9/2025,SMB,Express,Books,411.37,Mumbai,Hong Kong,Hazmat
ORD000196,10/7/2025,Enterprise,Economy,Fashion,442.46,Mumbai,Chennai,None
ORD000197,10/3/2025,SMB,Economy,Books,31.82,Delhi,Kolkata,None
ORD000198,10/12/2025,Individual,Economy,Healthcare,104.5,Mumbai,Dubai,None
ORD000199,10/14/2025,Enterprise,Economy,Electronics,570.44,Pune,Ahmedabad,Fragile
ORD000200,9/24/2025,Enterprise,Standard,Electronics,137.83,Hyderabad,Mumbai,Temperature_Controlled
